ID,Название теста,Описание,Входные данные,Ожидаемый результат,Пройдено/Не пройдено,Комментарии
FT1,"Установка будильника на будущее время","Проверка установки будильника на время в будущем (в тот же день).","Время будильника: через 5 минут от текущего","Будильник должен сработать через 5 минут. Звук должен воспроизводиться.",Пройдено,""
FT2,"Установка будильника на прошедшее время","Проверка установки будильника на время, которое уже прошло сегодня.","Время будильника: на 5 минут раньше текущего","Будильник должен быть установлен на завтра на указанное время.",Пройдено,""
FT3,"Ввод времени в неверном формате (буквы)","Проверка обработки неверного формата ввода (ввод букв вместо цифр).","Время будильника: abc","Должно появиться сообщение об ошибке ввода формата. Программа должна запросить ввод времени повторно.",Пройдено,""
FT4,"Ввод времени в неверном формате (разделитель)","Проверка обработки неверного формата ввода (использование другого разделителя вместо "":").","Время будильника: 10-30","Должно появиться сообщение об ошибке ввода формата. Программа должна запросить ввод времени повторно.",Пройдено,""
FT5,"Ввод времени с некорректными значениями (часы)","Проверка обработки некорректных значений часов (больше 23).","Время будильника: 25:00","Должно появиться сообщение об ошибке диапазона времени. Программа должна запросить ввод времени повторно.",Пройдено,""
FT6,"Ввод времени с некорректными значениями (минуты)","Проверка обработки некорректных значений минут (больше 59).","Время будильника: 10:60","Должно появиться сообщение об ошибке диапазона времени. Программа должна запросить ввод времени повторно.",Пройдено,""
FT7,"Отключение будильника нажатием 'q'","Проверка возможности отключения воспроизводимого будильника нажатием клавиши 'q'.","Время будильника: любое","При нажатии 'q' воспроизведение звука должно прекратиться.",Пройдено,""
FT8,"Попытка отключения до срабатывания будильника","Проверка поведения программы, если пользователь нажимает 'q' до того, как сработает будильник.","Клавиша 'q' до срабатывания будильника.","Программа должна игнорировать нажатие 'q' до момента срабатывания будильника.",Пройдено,""
FT9,"Обработка отсутствующего звукового файла","Проверка поведения программы, если файл `2024.mp3` не существует.","(Файл `2024.mp3` отсутствует)","Должно появиться сообщение об ошибке воспроизведения звука. Программа должна попытаться продолжить выполнение.",Пройдено,"Важно, чтобы программа продолжала работать, даже если не может воспроизвести звук."
FT10,"Установка нескольких будильников","Проверка возможности последовательной установки нескольких будильников.","Да, на вопрос об установке еще одного будильника.","Программа должна позволить установить несколько будильников подряд, пока пользователь не ответит ""нет"".",Пройдено,""
FT11,"Завершение программы","Проверка корректного завершения программы при отказе от установки еще одного будильника.","Нет, на вопрос об установке еще одного будильника.","Программа должна вывести сообщение ""Программа завершена"" и завершить свою работу.",Пройдено,""